Name,Student_ID,Gender,Department,Year,Previous_Backlogs,Student_Attendance_Percentage,Previous_Semester_Marks,Internal_Assessment_Marks,Assignment_Scores,Study_Hours_Per_Day,Class_Participation_Percentage,Completed_Assignments,Previous_Exam_Performance,Learning_Activities_Score,Socio_Academic_Factors_Score,Final_Performance_Percentage,Performance_Category
Kavin,STU1124,Female,ECE,2nd Year,1,82.49,54.3,57.7,59.9,6.72,60.23,10,65.79,5,66.12,72.17,Average
Gowtham,STU1249,Male,ECE,4th Year,0,73.81,68.88,63.42,71.14,2.23,53.07,10,74.04,6,68.13,66.33,Average
Jeevan,STU1168,Male,Civil,2nd Year,0,75.29,63.48,47.05,67.23,5.64,61.24,10,58.44,4,76.32,61.02,Pass
Karthikeyan,STU1060,Male,Mechanical,4th Year,2,86.58,65.32,67.02,74.57,1.15,57.45,10,68.38,3,80.89,66.7,Average
Naveena,STU1049,,ECE,2nd Year,1,81.02,59.27,62.72,76.6,0.66,50.98,10,50.99,3,68.08,61.3,Pass
Aarthi,STU1137,Male,Computer Science,3rd Year,0,93.55,66.26,75.32,95.75,4.5,69.41,10,60.7,5,82.85,59.22,Pass
Anu,STU1193,Female,EEE,2nd Year,0,91.3,89.15,77,76.56,3.75,63.76,6,83.43,5,75.05,75.91,Good
Bhavana,STU1161,Female,EEE,4th Year,1,76.69,59.73,61.96,66.17,2.82,61.39,10,69.58,4,73.37,65.95,Average
Chandrika,STU1289,Female,EEE,3rd Year,0,87.41,75.39,72.32,69.51,5.24,53.94,10,71.11,4,63.38,77.88,Good
Dharshika,STU1203,Male,Computer Science,3rd Year,0,92.39,69.8,60.71,65.71,3.25,65.47,10,76.2,3,87.57,72.9,Average
Ishwarya,STU1052,Female,Computer Science,2nd Year,1,66,61.44,59.8,55.62,6.28,84.27,10,81.29,7,73.99,72.84,Average
Madhumitha,STU1118,Male,Information Technology,4th Year,0,83.17,77.7,93.33,63.18,5.94,65.82,10,78.68,4,67.07,79.89,Good
Nandita,STU1191,Male,Artificial Intelligence,1st Year,1,57.56,56.23,58.82,70.38,,58.08,9,63.57,3,69.92,55.52,Pass
Preethi,STU1061,Male,Artificial Intelligence,2nd Year,0,86.59,58.8,61.1,82.99,0.5,52.75,10,61.61,2,63.98,70.97,Average
Ranjani,STU1071,Other,Civil,2nd Year,1,75.19,59.5,59.67,68.1,4.05,58.22,10,80.48,6,61.23,72.67,Average
Revathi,STU1219,Male,Mechanical,2nd Year,4,62.39,51.61,49.16,52.84,4.28,59.04,10,49.47,5,51.26,44.83,Fail
Sakthi,STU1123,,EEE,4th Year,2,73.38,54.77,57.04,57.75,4.23,53.64,9,62.18,5,66.79,57.1,Pass
Sharmila,STU1021,Male,Computer Science,4th Year,0,82.32,80.21,84.33,77.79,3.39,78.18,10,75.39,5,68.94,71.63,Average
Soundarya,STU1214,Female,Information Technology,1st Year,1,54.46,42.5,52.11,63.22,5.05,61.41,10,55.39,5,64.85,57.08,Pass
Thenmozhi,STU1210,Male,Mechanical,2nd Year,2,49.93,54.16,49.69,53.17,4.79,56.29,9,82.93,3,78.15,43.8,Fail
Usha,STU1011,Male,Mechanical,1st Year,2,77.11,57.23,67.89,59.28,3.98,77.7,9,70.16,4,73.75,59.06,Pass
Vani,STU1064,Male,Mechanical,4th Year,0,80.43,74.43,63.24,68.63,2.65,60.88,10,63.42,1,66.4,67.01,Average
Yogitha,STU1069,Male,,2nd Year,0,83.41,73.54,75.48,84.58,5.41,73.35,10,70.03,6,67.32,73.69,Average
Jayanivethini,STU1241,Male,Mechanical,1st Year,1,80.56,60.27,79.75,78.04,3.9,72.24,10,63.73,4,78.41,68.71,Average
Jayanti,STU1261,Female,Artificial Intelligence,1st Year,2,95.03,57.21,66.33,84.7,6.23,75.59,10,68.44,3,79.75,69.94,Average
Vijay,STU1172,Male,EEE,2nd Year,0,72.02,65.47,53.38,48.86,2.76,72.33,10,63.21,3,60.81,63.55,Pass
Priya,STU1248,Male,EEE,4th Year,1,60.04,50.37,52.89,70.83,3.76,45.09,10,55.76,5,50.24,51.75,Pass
Kavya,STU1218,Male,EEE,3rd Year,1,,68.96,55.38,60.06,4.1,57.46,10,73.15,5,73.7,66.96,Average
Divya,STU1017,Male,ECE,2nd Year,0,85.97,68.58,64.41,56.71,1.41,65.33,10,67.46,3,83.29,61.81,Pass
Harini,STU1073,Male,ECE,3rd Year,1,82.09,66.33,68.91,72.12,2.62,57.92,10,74.27,4,69.09,66.14,Average
Keerthana,STU1128,,EEE,1st Year,0,97.68,84.48,85.22,82.12,2.95,74.44,10,91.64,3,86.91,87.07,Excellent
Nandhini,STU1109,Male,Computer Science,2nd Year,3,63.79,38.7,51.01,55.75,2.68,53.28,7,50.88,3,69.6,54.64,Pass
Swetha,STU1033,Female,Artificial Intelligence,2nd Year,0,70.56,62.75,63.08,61.44,2.43,60.08,10,82.99,2,80.66,55.5,Pass
Aishwarya,STU1125,Male,Mechanical,1st Year,0,89.33,78.4,70.32,77.34,4.98,68.12,10,80.96,6,82.12,86.38,Excellent
Pavithra,STU1183,Female,ECE,1st Year,1,77.9,47.75,57.83,63,3.91,62.33,10,63.65,3,62.96,68.35,Average
Dharani,STU1001,Male,Information Technology,3rd Year,3,72.82,,47.61,60.71,1.13,62.09,10,67.53,2,66.05,60.86,Pass
Sangeetha,STU1099,Female,Artificial Intelligence,1st Year,0,68.74,63.07,57.13,60.51,2.45,51.62,10,47.34,4,57.49,58.92,Pass
Anitha,STU1279,Male,Civil,4th Year,0,93.34,87.54,78.48,76.53,3.85,60.88,10,58.1,6,79.33,77.97,Good
Deepika,STU1093,Male,ECE,3rd Year,0,64.77,65.53,58.34,,1.28,54.34,9,62.03,2,61.24,56.58,Pass
Monisha,STU1039,Male,Mechanical,1st Year,1,79.76,76.36,77.65,77.77,5.67,68.09,10,82.77,7,79.25,84.99,Good
Sandhya,STU1133,Male,Mechanical,1st Year,0,67.06,63.42,55.29,60.33,1.03,38.72,10,61.43,4,62.46,69.37,Average
Abinaya,STU1096,Male,ECE,1st Year,1,82.78,63.47,58.51,74.28,1.89,57.62,10,72.29,4,77.65,64.89,Pass
Shalini,STU1143,Male,Information Technology,4th Year,1,,50.72,54.84,56.08,4.15,77.4,10,63.6,5,73.53,57.77,Pass
Ramya,STU1098,Male,Mechanical,4th Year,0,98.45,87.77,91.92,80.19,4.18,82.14,10,100,4,79.34,87.06,Excellent
Vaishnavi,STU1036,Male,Computer Science,1st Year,0,88,92.65,91.34,83.79,1.81,59.98,10,83.66,5,79.45,71.29,Average
Lavanya,STU1009,Male,ECE,4th Year,1,85.36,,74.32,83.34,3.86,51.23,10,85.4,4,69.05,71.73,Average
Dhivya,STU1084,Male,ECE,2nd Year,2,61.36,69.13,70.76,53.83,0.7,49.27,9,83.15,2,59.88,60.81,Pass
Meena,STU1164,Male,Information Technology,4th Year,1,53.04,65.41,55.75,59.56,0.5,48.33,10,66.28,4,55.19,48.68,Fail
Mahalakshmi,STU1086,Male,Computer Science,4th Year,0,92.31,85.47,67.63,80.23,2.18,51.06,10,86.93,5,73.39,70.18,Average
Sowmya,STU1114,Female,Artificial Intelligence,4th Year,0,90.4,85.02,82.88,85.67,3.52,68.86,10,100,4,66.9,92.49,Excellent
Sneha,STU1215,Male,Artificial Intelligence,4th Year,0,78.63,77.94,,52.73,6.06,55.63,10,85.3,6,64.45,63.9,Pass
Srinithi,STU1014,Female,Artificial Intelligence,3rd Year,0,88.9,74.31,68.92,59.86,4.24,69.41,10,67.62,2,80.89,72.62,Average
Janani,STU1163,Male,Information Technology,4th Year,1,60.29,61.29,66.25,65.43,4.43,65.35,10,,3,75.75,63.36,Pass
Karthika,STU1146,Male,Computer Science,3rd Year,0,75.84,63.1,74.41,72.04,6.24,80.05,10,,7,61.96,72.77,Average
Anjali,STU1222,Male,EEE,1st Year,0,66.06,70.54,52.32,60.27,1.95,41.57,10,71.09,2,51.2,57.74,Pass
Gayathri,STU1275,Male,Civil,3rd Year,0,100,73.36,63.22,75.83,4.29,62.87,10,86.55,4,89.55,82.63,Good
Reshma,STU1230,Female,Information Technology,1st Year,3,75.74,46.93,66.69,73.38,0.5,51.62,10,39.2,4,60.12,63.3,Pass
Varshini,STU1034,Male,Artificial Intelligence,4th Year,1,70.76,45.68,66.48,78.26,5.96,44.19,10,63.46,8,69.25,65.41,Average
Nivetha,STU1022,Female,ECE,2nd Year,0,86.95,67.44,65.31,90.26,0.59,61.96,10,53.09,3,76.09,73.16,Average
Swathi,STU1196,Male,Information Technology,4th Year,1,70.55,59.84,72.19,71.65,3.73,61.31,10,62.17,5,76.67,71.12,Average
Pooja,STU1216,Male,Computer Science,1st Year,2,63.79,62.66,56.99,68.66,1.49,52.35,10,50.76,3,55.37,49.81,Fail
Shreya,STU1292,Male,Computer Science,1st Year,0,92.65,83.25,67.4,87.83,4.15,72.65,10,75.15,6,77.05,78.7,Good
Akshaya,STU1070,Female,ECE,1st Year,1,79.14,58.53,58.69,50.42,0.5,50.76,10,71.26,4,77.91,61.62,Pass
Yamuna,STU1090,Female,Computer Science,1st Year,0,84.38,82.34,63.21,75.83,2.93,74.24,10,71.27,2,61.98,77.19,Good
Rithika,STU1003,Male,Mechanical,1st Year,0,81.74,80.36,57.74,70.82,3.84,75.94,10,82.73,5,74.24,70.53,Average
Bhavya,STU1020,Male,ECE,1st Year,1,,58.3,57.51,52.07,3.08,58.26,10,59.34,3,71.98,61.02,Pass
Mithra,STU1068,Female,Computer Science,3rd Year,0,71.52,65.21,80.14,52.11,5.22,70.96,10,58.48,6,79,66.45,Average
Sindhu,STU1189,Female,Information Technology,1st Year,1,82.13,67.24,71.84,61.88,8.43,52.61,9,78.58,7,78.79,82.71,Good
Tharani,STU1299,Male,EEE,1st Year,0,83.93,66.83,,86.45,3.91,69.69,10,64.02,6,94.05,66.95,Average
Roshini,STU1253,Male,Computer Science,1st Year,2,85.99,68.59,68.5,66.92,1.84,52,10,68.07,3,90.21,64.74,Pass
Nithya,STU1044,Male,Information Technology,1st Year,0,64,73.56,54.84,57.15,2.87,40.06,9,64.75,5,45.48,49.79,Fail
Kowsalya,STU1067,Male,Artificial Intelligence,2nd Year,0,85.79,82.56,72.64,63.31,,70.33,10,78.26,6,73.66,81.4,Good
Vignesh,STU1162,Male,EEE,2nd Year,0,67.7,60.03,63.96,,2.04,53.69,10,,4,65.45,68.47,Average
Sanjay,STU1213,Male,,3rd Year,1,95.52,63.89,69.65,,4.83,86,10,74.35,8,82.9,86.41,Excellent
Arun,STU1165,Female,Artificial Intelligence,1st Year,0,75.68,69.27,54.87,63.69,1.55,53.11,10,74.6,6,76.44,63.29,Pass
Karthik,STU1195,Female,Artificial Intelligence,3rd Year,1,67.25,73.14,59.96,53.77,4.61,64.83,10,,6,67.14,66.75,Average
Dinesh,STU1015,Male,Civil,3rd Year,0,83.8,72.36,77.2,82.96,2.14,51.91,10,63.57,4,75.33,75.55,Good
Praveen,STU1252,Male,Information Technology,4th Year,0,99.34,76.49,72.55,,2.38,76.01,10,65.42,5,95.18,82.81,Good
Suresh,STU1140,Female,EEE,1st Year,1,73.68,67.54,68.43,61.75,2.94,48.6,10,62.14,4,63.84,64.23,Pass
Rakesh,STU1076,Male,Information Technology,4th Year,0,86.31,79.53,80.18,76.12,2.36,56.44,10,78.08,3,61.2,76.02,Good
Rahul,STU1080,Female,Civil,2nd Year,1,82.99,64.04,64.09,66.46,5.51,79.58,10,72.69,4,72.33,75.6,Good
Aravind,STU1023,Male,ECE,4th Year,1,45.3,53.7,57.97,75.86,5.37,60.12,10,53.63,2,59.3,56.66,Pass
Ashwin,STU1059,Female,Artificial Intelligence,3rd Year,0,84.75,68.58,67.14,72.82,5.82,76.43,10,74.9,8,93.84,67.57,Average
Hari,STU1102,Male,Civil,3rd Year,0,77.73,94.75,75.98,67.71,6.03,79.12,10,97.88,6,83.08,86.13,Excellent
Gokul,STU1074,Other,Computer Science,1st Year,0,78.87,86.35,73.37,67.34,3.91,49.88,10,86.98,3,77.98,75.21,Good
Mohan,STU1260,Male,Information Technology,3rd Year,1,81.85,51.88,59.47,64.87,2.71,72.85,10,50.04,4,76.49,53.42,Pass
Manoj,STU1160,Female,Information Technology,3rd Year,0,79.96,65.45,69.32,76.06,5.32,66.73,10,69.94,4,70.62,73.75,Average
Vishnu,STU1217,Female,Civil,1st Year,2,61.78,51.03,58.52,70.89,2.3,48.71,10,57.08,2,60.16,59.63,Pass
Surya,STU1227,Male,Information Technology,1st Year,0,80.77,78.02,82.43,,3.45,70.09,10,82.28,4,78.05,72.1,Average
Ajay,STU1050,Male,Artificial Intelligence,3rd Year,0,76.05,64.82,69.75,62.83,2.63,49.22,10,77.56,5,52.37,57.41,Pass
Akash,STU1153,Male,ECE,3rd Year,0,73.28,66.67,68.39,61.41,4.09,71.48,9,75.66,5,76.6,69.27,Average
Bharath,STU1138,Female,Computer Science,4th Year,1,64.79,62.47,49.35,61.73,5.08,59.77,10,73.05,6,76.85,53.3,Pass
Deepak,STU1004,Male,ECE,1st Year,0,77.84,61.41,70.65,78.62,4.94,77.76,10,52.9,7,76.43,73.39,Average
Naveen,STU1246,Male,Mechanical,4th Year,1,83.09,68.74,67.13,80.24,4.15,78.55,10,79.77,5,87.88,76.39,Good
Sathish,STU1032,Female,Computer Science,4th Year,1,82.62,68.04,79.39,66.29,0.5,49.88,10,74.48,2,69.37,66.47,Average
Saravanan,STU1149,Male,ECE,4th Year,1,77.73,61.32,58.61,65.01,2.35,76.5,10,66.06,5,62.05,64.78,Pass
Lokesh,STU1048,Male,Information Technology,3rd Year,0,80.23,76.17,65.5,57.52,2.13,72.78,10,73.63,3,80.7,67.7,Average
Rohit,STU1021,Male,Computer Science,4th Year,0,82.32,80.21,84.33,77.79,3.39,78.18,10,75.39,5,68.94,71.63,Average
Vivek,STU1202,Female,Computer Science,2nd Year,0,74.54,81.01,79.73,88.94,0.73,47.91,10,83.16,5,80.73,69.86,Average
Dharun,STU1251,Female,Computer Science,1st Year,3,,42.48,48.18,63.1,3.46,54.13,10,47.2,6,67.93,57.62,Pass
Yashwanth,STU1018,Female,Computer Science,4th Year,0,63.05,60.78,62.49,51.86,2.66,54.74,8,56.86,5,59.53,57.82,Pass
Adithya,STU1113,Female,ECE,2nd Year,1,63.97,65.66,67.64,67.42,2.76,52.46,10,58.03,4,67.59,63.07,Pass
Abhishek,STU1026,Female,Computer Science,2nd Year,1,57.61,71.7,78.57,69.12,3.14,46,10,84.67,4,77.36,65.62,Average
Siddharth,STU1295,Male,Mechanical,2nd Year,0,86.67,98,83.11,79.57,2.94,53.5,10,78.83,1,62.22,81.57,Good
Varun,STU1112,Male,ECE,4th Year,0,67.75,66.92,53.75,56.16,6.78,49.33,10,63.23,5,69.17,63.54,Pass
Kishore,STU1136,Male,ECE,2nd Year,0,90.88,75.83,76.26,,5.84,75.91,10,69.47,5,85.48,83.2,Good
Pranav,STU1097,Male,EEE,3rd Year,0,86.52,75.66,77.53,80.68,0.5,42.83,10,87.16,1,73.02,72.22,Average
Ranjith,STU1264,Female,Artificial Intelligence,3rd Year,1,76.45,,60.83,70.26,3.09,50.16,10,69.19,1,75.02,63.96,Pass
Santhosh,STU1250,Female,Mechanical,2nd Year,0,90.63,70.36,69.83,73.78,6.47,70.6,10,65.02,6,83.24,78.65,Good
Muthukumar,STU1028,Female,EEE,1st Year,1,100,65.02,77.77,69.38,3.63,75.94,10,72.75,4,75.5,75.13,Good
Kavin,STU1206,Male,ECE,2nd Year,0,76.55,89.93,85.66,80.53,2.12,62.07,10,85.85,4,78.19,78.94,Good
Gowtham,STU1131,,Computer Science,1st Year,0,83.34,79.55,93.62,69.36,5.36,62.93,10,85.57,5,79,85.24,Excellent
Jeevan+KA309:R311,STU1029,Female,Computer Science,2nd Year,0,75.13,63.62,76.74,65.57,9.2,72.83,10,60.35,6,60.38,68.64,Average
Karthikeyan,STU1117,Female,Computer Science,4th Year,1,73.18,66.4,67.82,72.79,6.18,57.72,10,79.43,6,65.45,61.71,Pass
Naveena,STU1030,Male,Computer Science,3rd Year,2,60.91,54.06,59.3,50.9,5.08,67.91,7,64.32,6,70.48,54.67,Pass
Aarthi,STU1078,Female,Artificial Intelligence,1st Year,0,80.58,73.5,65.92,69.66,6.93,54.42,9,69.6,6,74.22,73.17,Average
Anu,STU1283,Male,Computer Science,1st Year,1,77.45,60.16,67.62,66.99,3.52,72.59,10,62.13,6,81.04,54.75,Pass
Bhavana,STU1258,Female,Artificial Intelligence,1st Year,0,82.77,78.08,98,87.45,5.41,56.13,10,74.92,7,63.71,85.17,Excellent
Nirajana,STU1158,Female,Computer Science,3rd Year,0,97.53,87.48,78.98,85.73,0.5,75.16,10,76.33,1,83.97,81.93,Good
Lavanya,STU1009,Male,ECE,4th Year,1,85.36,,74.32,83.34,3.86,51.23,10,85.4,4,69.05,71.73,Average
Dhivya,STU1084,Male,ECE,2nd Year,2,61.36,69.13,70.76,53.83,0.7,49.27,9,83.15,2,59.88,60.81,Pass
Pavithra,STU1194,Male,Computer Science,2nd Year,2,70.51,47.12,43.06,64.94,1.63,49.57,10,48.22,4,71.19,56.25,Pass
Dharani,STU1296,Female,Computer Science,1st Year,0,71.42,76.12,55.1,67.44,2.86,73.74,10,66.4,2,67.1,74.99,Average
Sangeetha,STU1150,Female,Information Technology,4th Year,2,85.32,54.21,68.5,63.85,3.72,77,10,69.55,4,72.54,63.28,Pass
Anitha,STU1120,,Mechanical,3rd Year,2,82.31,71.1,67.82,90.8,3.21,70.36,10,62.98,7,68.17,68.1,Average
Deepika,STU1192,Male,Artificial Intelligence,1st Year,2,90.25,72.58,56.86,79.82,7.62,64.97,10,70.11,5,74,80.61,Good
Monisha,STU1082,Male,Information Technology,4th Year,0,86.67,58.02,63.19,76.51,4.25,72.14,10,66.15,5,82.22,69.22,Average
Sandhya,STU1256,Female,Information Technology,3rd Year,0,99.88,98,66.43,81.19,1.06,77.51,10,85.35,4,94.36,80.76,Good
Abinaya,STU1257,Male,Civil,1st Year,1,87.2,67.14,68.4,73.17,4.32,68.38,10,66.68,8,85.57,66.4,Average
Shalini,STU1053,Male,Computer Science,4th Year,1,51.46,66.01,69.76,67.24,3.29,31.06,10,76.33,2,60.54,58.07,Pass
Ramya,STU1176,Male,Computer Science,4th Year,0,100,75.08,79.94,79.07,4.32,68.12,10,78.7,4,97.6,77.24,Good
Vaishnavi,STU1055,Male,Computer Science,2nd Year,2,40,35.11,59.23,69.1,6.17,34.84,10,41.49,6,42.73,56.09,Pass
Lavanya,STU1035,Female,Civil,4th Year,0,92.17,79.27,50.95,61.36,3.22,68.21,10,87.58,3,95.84,68.01,Average
Dhivya,STU1205,Male,Computer Science,4th Year,0,73.89,62.69,49.37,56.02,6.33,62.92,10,52.88,3,71.5,59.11,Pass
Meena,STU1111,Male,Artificial Intelligence,1st Year,0,71.09,80.34,67.51,80.56,5.99,72.19,10,75.62,8,68.4,82.19,Good
Mahalakshmi,STU1259,,Mechanical,4th Year,0,87.58,80.54,73.17,58.89,3.87,76.48,10,73.65,7,63.3,75.16,Good
Sowmya,STU1291,Male,Mechanical,2nd Year,0,82.08,66.4,66.92,53.94,1.79,54.01,10,63.84,4,74.41,59.01,Pass
Sneha,STU1156,Female,Information Technology,3rd Year,0,81.5,65.24,64.48,58.51,5.76,57.83,10,78.72,5,66.64,70.83,Average
Srinithi,STU1274,Male,Computer Science,4th Year,2,61.83,65.13,68.6,76.13,5.09,72.28,10,74.13,5,63.48,64.09,Pass
Janani,STU1276,Female,ECE,4th Year,0,94.4,66.24,62.59,64.74,4.92,80.9,10,73.57,6,97.34,72.62,Average
Karthika,STU1040,Male,ECE,3rd Year,2,72.8,57.5,69.22,60.26,3.69,54.22,10,66.18,5,69.9,64.04,Pass
